label,artist,album,genre,single_count,freq_billboard,freq_genius,freq_theSource,freq_xxl,rating_AOTY,rating_meta,rating_pitch,twitter,instagram,facebook,spotify,soundcloud,youtube
0,Empress Of,Me,hiphop,4,0,0,13,9712,,82,8.2,19620,21018,25610,34372,14995,7608
0,Kat Dahlia,My Garden,hiphop,3,0,0,0,1,,63,,132818,80540,160749,205739,39163,449632
0,Ivy Levan,No Good,hiphop,6,0,0,1,3,,,,24949,74333,67186,18613,2826,58805
0,K Camp,Only Way Is Up,hiphop,3,11,0,200,1784,,,,42,803349,913239,712838,244006,203330
0,Raz Fresco,Pablo Frescobar,hiphop,6,0,0,1,2,,,,8474,6891,5764,1435,4803,8941
1,Lil Dicky,Professional Rapper,hiphop,4,0,0,0,130,,,,465124,1436233,769126,801312,288165,2870231
1,Lil Durk,Remember My Name,hiphop,1,0,0,11,151,,61,5.6,2791489,8873,1419019,635622,54802,11795
1,Travis Scott,Rodeo,hiphop,2,0,2,38,836,,64,6,3445733,8939947,0,2592809,1247249,1990148
0,Bodega Bamz,Sidewalk Exec,hiphop,0,0,0,5,25,,,,38449,54810,18946,25970,29847,20314
0,K.O,Skhanda Republic,hiphop,5,0,0,1,0,,,,1130799,166951,176916,4225,0,203901
0,Drique London,The Manual,hiphop,0,0,0,0,0,,,,0,0,0,12,0,0
1,Rae Sremmurd,SremmLife,hiphop,5,4,3,39,546,,78,7.8,679723,0,3025528,3084033,497189,6212890
1,Vince Staples,Summertime '06,hiphop,3,0,0,13,54,,87,8.8,897189,553297,167568,562618,82622,244333
1,Donnie Trumpet & The Social Experiment,Surf,hiphop,3,0,0,26,102,,86,,0,0,0,81670,38,0
1,Bryson Tiller,Trapsoul,hiphop,3,0,0,12,239,,,,2326842,5026544,1377077,2397676,903358,1620705
0,Chinx,Welcome to JFK,hiphop,1,0,0,1,24,,75,7.3,135800,301320,189175,100748,0,87068
0,Rock City,What Dreams Are Made Of,hiphop,2,6,0,23,614,,,,0,0,0,492,0,0
1,Robb Banks,Year of the Savage,hiphop,2,0,0,0,618,,,,96959,117119,0,1106,142439,33871
1,Migos,Yung Rich Nation,hiphop,2,0,0,3,44,,67,7,2187675,7015467,2490511,5148896,972338,5443605
1,Flatbush Zombies,3001: A Laced Odyssey,hiphop,2,0,0,5,36,,80,7.2,298093,403004,547515,447460,559821,587427
1,Baauer,Aa,hiphop,3,0,0,19,80,,76,7.3,339312,107550,2025,117017,987414,25225
1,Brockhampton,All-American Trash,hiphop,0,0,0,0,9,,,,257665,445507,80464,351839,39802,302009
0,SCH,Anarchie,hiphop,5,0,0,0,0,,,,1733,733,1035412,341255,0,1349053
0,Banks & Steelz,Anything But Words,hiphop,6,0,28,200,487,,,4.4,5086,5500,14851,19583,1385,9719
0,Anatii,ARTIIFACT,hiphop,6,0,0,0,0,,,,705358,175194,201930,7131,5050,12676
0,CupcakKe,Audacious,hiphop,4,0,0,0,16,,,,332586,410494,26073,147595,21175,366433
0,Nasty C,Bad Hair,hiphop,1,0,0,5,5,,,,756057,1242079,538359,5722,25881,21109
1,Bankroll Mafia,Bankroll Mafia,hiphop,2,0,0,1,23,,,,452,0,0,95323,0,0
