artist,album,genre,single_count
Nothing But You,Meant to Be,soul,0
Frances,Things I've Never Said,soul,7
Ford & Lopatin,Channel Pressure,funk,2
Katie Waissel,Katie Waissel,funk,0
Pascal & Pearce,Passport,funk,0
Don Broco,Automatic,funk,3
Twelve Foot Ninja,Silent Machine,funk,0
7 Days of Funk,7 Days of Funk,funk,1
The 1975,The 1975,funk,5
Mystery Skulls,Forever,funk,4
Nathan East,Nathan East,funk,0
Her Majesty & the Wolves,111,pop,3
CocknBullKid,Adulthood,pop,4
The Adults,The Adults,pop,0
Amanda Fondell,All This Way,pop,1
Cir.Cuz,Alt I Sin Tid,pop,0
Mark Stoermer,Another Life,pop,0
Anthem Lights,Anthem Lights,pop,0
Avion Roe,The Art of Fiction,pop,2
Astro,Astro,pop,0
Howie Dorough,Back to Me,pop,3
Dirty Beaches,Badlands,pop,0
Momoiro Clover Z,Battle and Romance,pop,5
We Are the In Crowd,Best Intentions,pop,4
The Joy Formidable,The Big Roar,pop,6
Birdy,Birdy,pop,4
Anna Rossinelli,Bon Voyage,pop,2
Rainbow Arabia,Boys and Diamonds,pop,0
BiS,Brand-new idol Society,pop,2
Tennis,Cape Dory,pop,0
Chiaki Kuriyama,Circus,pop,19
Collectif Paris-Africa,Collectif Paris-Africa pour l'UNICEF,pop,1
Ringo Deathstarr,Colour Trip,pop,0
Casey Darnell,Coming Alive,pop,0
David Lynch,Crazy Clown Time,pop,4
Still Corners,Creatures of an Hour,pop,0
Cults,Cults,pop,5
Brite Futures,Dark Past,pop,0
Girls Names,Dead to Me,pop,1
Mia Martina,Devotion,pop,6
Beady Eye,Different Gear Still Speeding,pop,5
Emily's Army,Don't Be a Dick,pop,2
Falling in Reverse,The Drug in Me Is You,pop,5
Eli Lieb,Eli Lieb,pop,0
Melanie Laurent,En t'attendant,pop,1
Auryn,Endless Road 7058,pop,5
Gazelle Twin,The Entire City,pop,0
Singing Adams,Everybody Friends Now,pop,0
Dulce Maria,Extranjera - Primera Parte,pop,3
Viva Brother,Famous First Words,pop,3
Austra,Feel It Break,pop,3
Christina Grimmie,Find Me,pop,2
Chris Crocker,The First Bite,pop,2
Girls' Generation,Girls' Generation,pop,3
Little Scream,The Golden Record,pop,0
miwa,Guitarissimo,pop,5
Greyson Chance,Hold On 'til the Night,pop,4
Holy Ghost!,Holy Ghost!,pop,4
Frankie & The Heartstrings,Hunger,pop,5
Erin,Hunningolla,pop,0
Speak,I Believe In Everything,pop,0
Basement,I Wish I Could Stay Here,pop,0
Givers,In Light,pop,0
Pietro Lombardi,Jackpot,pop,1
the JaneDear girls,the JaneDear girls,pop,3
Jonny,Jonny,pop,0
I Fight Dragons,KABOOM!,pop,4
I Am Empire,Kings,pop,3
Matt Cardle,Letters,pop,4
Birgit Bidder,The Life Home,pop,3
Mirrors,Lights and Offerings,pop,4
Stephanie Cayo,Llegare,pop,3
Christina Perri,Lovestrong,pop,3
Go Radio,Lucky Street,pop,2
Mademoiselle Yulia,Mademoworld,pop,2
Matthew Morrison,Matthew Morrison,pop,2
Lisa Matassa,Me Time,pop,0
Can Bonomo,Meczup,pop,3
Stephen Jerzak,Miles and Miles,pop,2
Mary Byrne,Mine & Yours,pop,1
Jamie Woon,Mirrorwriting,pop,2
Charlene Soraia,Moonchild,pop,2
JPM,Moonwalk,pop,5
