index,artists,albums,release_date,ratings
8036,How to Dress Well,Just Once EP,26/07/2011,7.8
8037,Inc.,3 EP,25/07/2011,4.8
8038,Machinedrum,Room(s),25/07/2011,6.6
8039,La Big Vic,Actually,25/07/2011,7.3
8040,Nguzunguzu,Timesup EP,25/07/2011,7.6
8041,The Horrors,Skying,25/07/2011,7.5
8042,Serengeti,Family and Friends,21/07/2011,6.8
8043,Fruit Tree Foundation,First Edition,21/07/2011,5.9
8044,Various Artist,"To What Strange Place: The Music of the Ottoman-American Diaspora, 1916-1929",21/07/2011,8.3
8045,Prurient,Bermuda Drain,21/07/2011,7
8046,Kendrick Lamar,Section.80,21/07/2011,8
8047,Sons and Daughters,Mirror Mirror,20/07/2011,5.6
8048,Samiyam,Sam Baker's Album,20/07/2011,6.3
8049,"Borden, Ferraro, Godin, Halo & Lopatin",FRKWYS Vol. 7,20/07/2011,7.7
8050,Gucci Mane,Writings on the Wall II,20/07/2011,7.9
8051,Megadeth,Peace Sells... But Who's Buying? [25th Anniversary Edition],20/07/2011,8.7
8052,Olivia Wyatt,Staring Into the Sun,19/07/2011,7.2
8053,Vondelpark,nyc stuff and nyc bags,19/07/2011,7.5
8054,Siriusmo,Pearls & Embarrassments: 2000-2010,19/07/2011,7.4
8055,Fennesz,Seven Stars,19/07/2011,7.1
8056,The Cool Kids,When Fish Ride Bicycles,19/07/2011,6.9
8057,Singer,Mindreading,18/07/2011,5.8
8058,Sole and the Skyrider Band,Hello Cruel World,18/07/2011,6.1
8059,James Ferraro,Night Dolls With Hairspray,18/07/2011,7.9
8060,Pictureplane,Thee Physical,18/07/2011,7
8061,The Men,Leave Home,18/07/2011,8.2
8062,The Chain Gang of 1974,Wayward Fire,14/07/2011,5.7
8063,Ratcliffe,Dorus Rijkers EP,14/07/2011,7
8064,Dope Body,Nupping,14/07/2011,7.8
8065,Various Artist,Red Hot + Rio 2,14/07/2011,7.2
8066,Lil B,I'm Gay (I'm Happy),14/07/2011,8.1
8067,Various Artist,Invasion of the Mysteron Killer Sounds,13/07/2011,7.9
8068,Miracle Fortress,Was I the Wave?,13/07/2011,7.2
8069,Biosphere,N-Plants,13/07/2011,8
8070,Gomez,Whatever's on Your Mind,13/07/2011,2.9
8071,R.E.M.,Lifes Rich Pageant (25th Anniversary Edition),13/07/2011,8.8
8072,Cian Nugent,Doubles,12/07/2011,7.7
8073,Brilliant Colors,Again and Again,12/07/2011,6.8
8074,Foster the People,Torches,12/07/2011,6.2
8075,Eleanor Friedberger,Last Summer,12/07/2011,7.9
8076,Zomby,Dedication,12/07/2011,7.6
8077,Various Artist,Rave On: A Tribute to Buddy Holly,11/07/2011,3.8
8078,Emmy the Great,Virtue,11/07/2011,6.3
8079,Gold-Bears,Are You Falling in Love?,11/07/2011,7.6
8080,Crystal Antlers,Two-Way Mirror,11/07/2011,7
8081,Washed Out,Within And Without,11/07/2011,8.3
8082,Father's Children,Who's Gonna Save the World,08/07/2011,7.4
8083,Noveller,Glacial Glow,08/07/2011,7.6
8084,Various Artist,116 & Rising,08/07/2011,7.2
8085,Vybz Kartel,Kingston Story,08/07/2011,5.7
8086,John Maus,We Must Become the Pitiless Censors of Ourselves,08/07/2011,8.4
8087,Vast Aire,OX 2010: A Street Odyssey,07/07/2011,4.6
8088,Eric Copeland,Waco Taco Combo,07/07/2011,7.5
8089,Atari Teenage Riot,Is This Hyperreal?,07/07/2011,5.1
8090,SBTRKT,SBTRKT,07/07/2011,8.1
8091,Memory Tapes,Player Piano,07/07/2011,6
8092,Gardens & Villa,Gardens & Villa,06/07/2011,6.8
8093,The Poison Control Center,Stranger Ballet,06/07/2011,7.6
8094,Big Sean,Finally Famous,06/07/2011,6.1
8095,Pure X,Pleasure,06/07/2011,7.6
8096,AraabMuzik,Electronic Dream,06/07/2011,8.2
8097,Mexicans With Guns,Ceremony,05/07/2011,5.5
8098,Brown Recluse,Evening Tapestry,05/07/2011,7.4
8099,YACHT,Shangri-La,05/07/2011,6.5
8100,Com Truise,Galactic Melt,05/07/2011,7.3
8101,Brian Eno,Drums Between the Bells,05/07/2011,6.6
8102,Vampillia,Alchemic Heart,01/07/2011,8
8103,Norm Macdonald,Me Doing Standup,01/07/2011,6.5
8104,Wiley,100% Publishing,01/07/2011,7.5
8105,Lungfish,The Unanimous Hour,01/07/2011,8.1
8106,Statik Selektah,"Lord Giveth, Lord Taketh Away EP",01/07/2011,7.2
8107,The Wooden Birds,Two Matchsticks,30/06/2011,7.3
8108,Tearist,Living: 2009-Present,30/06/2011,6.7
8109,Kate Simko,Lights Out,30/06/2011,6.9
8110,Death Grips,Exmilitary,30/06/2011,7.5
8111,Curren$y,Weekend at Burnie's,30/06/2011,8
8112,Witch Gardens,"Alice, Agatha, Branch & Christ",29/06/2011,7.2
8113,White Denim,D,29/06/2011,6.8
8114,Vladislav Delay Quartet,Debut,29/06/2011,7.2
8115,Handsome Furs,Sound Kapital,29/06/2011,8.1
8116,Iceage,New Brigade,29/06/2011,8.4
8117,diskJokke,Sagara,28/06/2011,6.4
8118,JÌ_hann JÌ_hannsson,The Miners' Hymns,28/06/2011,7.7
8119,Killer Mike,Pl3dge,28/06/2011,8
8120,Mount Kimbie,Carbonated EP,28/06/2011,6.8
8121,BeyoncÌ©,4,28/06/2011,8
8122,Graham Wright,Shirts vs. Skins,27/06/2011,4.9
8123,Laurel Halo,Hour Logic EP,27/06/2011,5.8
8124,Robag Wruhme,Thora Vukk,27/06/2011,7.9
8125,Blanck Mass,Blanck Mass,27/06/2011,7.7
8126,Shabazz Palaces,Black Up,27/06/2011,8.8
8127,Digitalism,"I Love You, Dude",24/06/2011,4.4
8128,Cliffie Swan,Memories Come True,24/06/2011,7.3
8129,Mount Moriah,Mount Moriah,24/06/2011,7.8
8130,Other Lives,Tamer Animals,24/06/2011,7.4
8131,Suede,Coming Up [Deluxe Edition],24/06/2011,7.9
8132,Various Artist,Fania Records 1964-1980: The Original Sound of Latin New York,23/06/2011,8
8133,White Hills,H‰ÛÒp1,23/06/2011,6.8
8134,Forest Swords,Fjree Feather,23/06/2011,6.5
8135,Cities Aviv,Digital Lows,23/06/2011,7.5
8136,WU LYF,Go Tell Fire to the Mountain,23/06/2011,8.4
8137,Ungdomskulen,Gimme Ten,22/06/2011,5.2
8138,6th Borough Project,One Night in the Borough,22/06/2011,6.7
8139,BOBBY,BOBBY,22/06/2011,7.2
8140,Young Montana,Limerence,22/06/2011,7.5
8141,Unknown Mortal Orchestra,Unknown Mortal Orchestra,22/06/2011,8.1
8142,Bruno Pronsato,Lovers Do,21/06/2011,8.1
8143,"1,2,3",New Heaven,21/06/2011,6.3
8144,Silkie,Silkie - City Limits Volume 2,21/06/2011,7.8
8145,BombÌ© and Mr. Caribbean,James Drake,21/06/2011,7.6
8146,Ty Segall,Goodbye Bread,21/06/2011,8.1
8147,Shine 2009,Realism,20/06/2011,6.1
8148,Bodies of Water,Twist Again,20/06/2011,7.4
8149,Brent Hinds,Fiend Without a Face/West End Motel,20/06/2011,6.8
8150,Action Bronson,Dr. Lecter,20/06/2011,8.1
8151,Bon Iver,"Bon Iver, Bon Iver",20/06/2011,9.5
8152,Wet Hair,In Vogue Spirit,17/06/2011,7.2
8153,MV & EE,Country Stash,17/06/2011,7.4
8154,Arrange,Plantation,17/06/2011,7.7
8155,Neil Young,Archives Performance Series Volume 9: A Treasure,17/06/2011,7.3
8156,Marissa Nadler,Marissa Nadler,17/06/2011,8.1
8157,Puerto Rico Flowers,7,16/06/2011,6.8
8158,Processory,Change Is Gradual,16/06/2011,7.4
8159,The Black Swans,Don't Blame the Stars,16/06/2011,7.5
8160,Ikue Mori,FRKWYS Vol. 6,16/06/2011,7.3
8161,Mercury Rev,Deserter's Songs [Deluxe Edition],16/06/2011,9.3
8162,Kyle Bobby Dunn,Ways of Meaning,15/06/2011,7.1
8163,Vetiver,The Errant Charm,15/06/2011,6.4
8164,DJ Harvey,Locussolus,15/06/2011,7.3
8165,Thee Oh Sees,Castlemania,15/06/2011,7.6
8166,Paul McCartney,McCartney,15/06/2011,7.9
8167,An Horse,Walls,14/06/2011,6.4
8168,Hail Mary Mallon,Are You Gonna Eat That?,14/06/2011,6.7
8169,Holy Other,With U EP,14/06/2011,7.6
8170,The Caretaker,An Empty Bliss Beyond This World,14/06/2011,8.2
8171,Sebadoh,Bakesale [Deluxe Edition],14/06/2011,8.5
8172,Jackie-O Motherfucker,Earth Sound System,13/06/2011,5.6
8173,The Ladybug Transistor,Clutching Stems,13/06/2011,6.4
8174,Black Eagle Child,Lobelia,13/06/2011,8
8175,DJ Shadow,I Gotta Rokk EP,13/06/2011,7
8176,Junior Boys,It's All True,13/06/2011,7.8
8177,These Trails,These Trails,10/06/2011,8.1
8178,Hospital Ships,Lonely Twin,10/06/2011,7
8179,Buzzcocks,A Different Compilation,10/06/2011,6.5
8180,Best Coast,iTunes Session,10/06/2011,7.5
8181,Black Lips,Arabia Mountain,10/06/2011,7.7
8182,Helado Negro,Canta Lechuza,09/06/2011,6.9
8183,Amon Tobin,ISAM,09/06/2011,5.9
8184,The Rosebuds,Loud Planes Fly Low,09/06/2011,7.3
8185,Mickey Newbury,An American Trilogy,09/06/2011,8.6
8186,Arctic Monkeys,Suck It and See,09/06/2011,7.5
8187,Various Artist,Our Lives Are Shaped By What We Love: Motown's MoWest Story 1971-1973,08/06/2011,7.8
8188,Tom Trago,Iris,08/06/2011,6.6
8189,Tom Vek,Leisure Seizure,08/06/2011,6.2
8190,Depeche Mode,Remixes 2: 81-11,08/06/2011,4.3
8191,Fucked Up,David Comes to Life,08/06/2011,8.6
8192,EAR PWR,EAR PWR,07/06/2011,5.9
8193,Chalk Circle,Reflection,07/06/2011,7.5
8194,The Coathangers,Larceny & Old Lace,07/06/2011,7.6
8195,Suede,Suede [Deluxe Edition],07/06/2011,8.4
8196,Battles,Gloss Drop,07/06/2011,7.4
8197,Sondre Lerche,Sondre Lerche,06/06/2011,5.8
8198,Frank Fairfield,Out on the Open West,06/06/2011,8
8199,Alina Simone,Make Your Own Danger,06/06/2011,7.2
8200,Oneida,Absolute II,06/06/2011,7.2
8201,Cults,Cults,06/06/2011,8.5
8202,David Thomas Broughton,Outbreeding,03/06/2011,6.9
8203,Various Artist,Blow Your Head Vol. 2: Dave Nada Presents Moombahton,03/06/2011,7.6
8204,Planningtorock,W,03/06/2011,6.7
8205,Hooray For Earth,True Loves,03/06/2011,7.9
8206,Ford & Lopatin,Channel Pressure,03/06/2011,7.5
8207,Spaceghostpurrp,Blvcklvnd Rvdix 66.6 (1991),02/06/2011,7.1
8208,The Most Serene Republic,Pre Serene: Thee Oneironauts,02/06/2011,4.9
8209,The Elected,Bury Me in My Rings,02/06/2011,6
8210,Patrick Wolf,Lupercalia,02/06/2011,5.3
8211,Woods,Sun and Shade,02/06/2011,7.9
8212,Bachelorette,Bachelorette,01/06/2011,5.8
8213,Group Doueh,Zayna Jumma,01/06/2011,7.6
8214,Lone,Echolocations,01/06/2011,7
8215,Eddie Vedder,Ukulele Songs,01/06/2011,6.4
8216,Death Cab for Cutie,Codes and Keys,01/06/2011,5
8217,Pulseprogramming,Charade Is Gold,31/05/2011,6.8
8218,Aidan Moffat,Everything's Getting Older,31/05/2011,6.4
8219,Phil Cook & His Feat,Hungry Mother Blues,31/05/2011,7.5
8220,The Vaccines,What Did You Expect From the Vaccines?,31/05/2011,6.2
8221,My Morning Jacket,Circuital,31/05/2011,7.2
8222,Manchester Orchestra,Simple Math,27/05/2011,5.5
8223,The Unthanks,Last,27/05/2011,7.6
8224,D. Charles Speer,Arghiledes,27/05/2011,5.7
8225,The Very Best,Super Mom,27/05/2011,6.7
8226,Destroyer,Ideas For Songs,27/05/2011,7.1
8227,Brave Irene,Brave Irene EP,26/05/2011,7.1
8228,Sightings,Future Accidents,26/05/2011,7
8229,Nat Baldwin,People Changes,26/05/2011,7.9
8230,Various Artist,"MMG Presents: Self Made, Vol. 1",26/05/2011,5.3
8231,Reatards,Teenage Hate,26/05/2011,8.6
8232,Coma Cinema,Blue Suicide,25/05/2011,7.2
8233,2562,Fever,25/05/2011,5.8
8234,Implodes,Black Earth,25/05/2011,7.5
8235,Friendly Fires,Pala,25/05/2011,7.4
8236,Nick Cave & the Bad Seeds,Let Love In,25/05/2011,8.5
8237,Various Artist,"Wallahi Le Zein!! Wezin, Jakwar And Guitar Boogie From The Islamic Republic Of Mauritania",24/05/2011,8
8238,Blue Sky Black Death,Noir,24/05/2011,7.5
8239,Dale Earnhardt Jr. Jr.,It's a Corporate World,24/05/2011,6
8240,Howe Gelb & a Band of Gypsies,AlegrÌ_as,24/05/2011,6.3
8241,Thurston Moore,Demolished Thoughts,24/05/2011,8.1
8242,Title Tracks,In Blank,23/05/2011,6.9
8243,A Lull,Confetti,23/05/2011,5.9
8244,Alcest,Le Secret EP,23/05/2011,6
8245,Johan AgebjÌ_rn,Casablanca Nights,23/05/2011,6.7
8246,Art Brut,Brilliant! Tragic!,23/05/2011,5.5
8247,White Fang,Grateful to Shred,20/05/2011,7.1
8248,Secret Cities,Strange Hearts,20/05/2011,7.4
8249,JEFF the Brotherhood,We Are The Champions,20/05/2011,7.3
8250,Let's Wrestle,Nursing Home,20/05/2011,6.7
8251,Boris,Attention Please,20/05/2011,7.1
8252,d'Eon,Darkbloom EP,19/05/2011,7.2
8253,Ensemble,Excerpts,19/05/2011,6.3
8254,Andy Stott,Passed Me By,19/05/2011,7.6
8255,Blu,Her Favorite Colo(u)r,19/05/2011,7
8256,Kate Bush,Director's Cut,19/05/2011,7.3
8257,Seapony,Go With Me,18/05/2011,5.3
8258,Blank Dogs,Collected By Itself: 2006 to 2009,18/05/2011,6.5
8259,Amor De DÌ_as,Street of the Love of Days,18/05/2011,5.7
8260,Urge Overkill,Rock & Roll Submarine,18/05/2011,5.8
8261,The Lonely Island,Turtleneck & Chain,18/05/2011,7.1
8262,Nodzzz,Innings,17/05/2011,7.1
8263,Psychedelic Horseshit,Laced,17/05/2011,7.3
8264,Sloan,The Double Cross,17/05/2011,8.1
8265,Iggy Pop,Roadkill Rising... The Bootleg Collection 1977-2009,17/05/2011,7.2
8266,13 & God,Own Your Ghost,17/05/2011,6
8267,Chad VanGaalen,Diaper Island,16/05/2011,7.5
8268,Austra,Feel It Break,16/05/2011,7.3
8269,Moby,Destroyed,16/05/2011,3.8
8270,Africa Hitech,93 Million Miles,16/05/2011,8.2
8271,Danger Mouse,Rome,16/05/2011,7
8272,Timber Timbre,Creep On Creepin' On,13/05/2011,6.7
8273,Omar Rodriguez-LÌ_pez,Telesterion,13/05/2011,6
8274,Various Artist,"Don‰Ûªt Rock the Boat, Sink the Fucker",13/05/2011,7.4
8275,Liturgy,Aesthethica,13/05/2011,8.3
8276,Wild Beasts,Smother,13/05/2011,8.2
8277,The People's Temple,Sons of Stone,12/05/2011,7.8
8278,Mark McGuire,A Young Person's Guide to Mark McGuire,12/05/2011,8.2
8279,Here We Go Magic,The January EP,12/05/2011,6.9
8280,The Sea and Cake,The Moonlight Butterfly,12/05/2011,7
8281,The Antlers,Burst Apart,12/05/2011,8.2
8282,Chrissy Murderbot,Women's Studies,11/05/2011,7
8283,Various Artist,Back and 4th,11/05/2011,7.2
8284,Steve Earle,I'll Never Get Out of This World Alive,11/05/2011,5.8
8285,Krallice,Diotima,11/05/2011,7.6
8286,"Tyler, the Creator",Goblin,11/05/2011,8
8287,The Felice Brothers,"Celebration, Florida",10/05/2011,5.7
8288,Mick Harvey,Sketches From the Book of the Dead,10/05/2011,6.3
8289,Mountains,Air Museum,10/05/2011,6.9
8290,Clams Casino,Rainforest EP,10/05/2011,8.2
8291,EMA,Past Life Martyred Saints,10/05/2011,8.5
8292,Girls Names,Dead to Me,09/05/2011,7.3
8293,David Kilgour and the Heavy Eights,Left By Soft,09/05/2011,7.4
8294,Dominik Eulberg,Diorama,09/05/2011,7.2
8295,Damon & Naomi,False Beats and True Hearts,09/05/2011,6.9
8296,Okkervil River,I Am Very Far,09/05/2011,7.9
8297,The Wave Pictures,Beer in the Breakers,06/05/2011,5.1
8298,Malajube,La Caverne,06/05/2011,7
8299,The U.N.,Gunz n' Butta,06/05/2011,7.6
8300,Jesu,Ascension,06/05/2011,7
8301,Gang Gang Dance,Eye Contact,06/05/2011,8.5
8302,Fredrik,Flora,05/05/2011,6.5
8303,Joan as Police Woman,The Deep Field,05/05/2011,4.5
8304,Curren$y,Covert Coup,05/05/2011,7.9
8305,Man Man,Life Fantastic,05/05/2011,7.4
8306,Nguzunguzu,The Perfect Lullaby,05/05/2011,8.1
8307,The High Llamas,Talahomi Way,04/05/2011,6.8
8308,Grails,Deep Politics,04/05/2011,7.9
8309,Michael Chapman,Trainsong: Guitar Compositions 1967‰ÛÒ2010,04/05/2011,7.9
8310,Cat's Eyes,Cat's Eyes,04/05/2011,7.9
8311,Beastie Boys,Hot Sauce Committee Part Two,04/05/2011,7
8312,Zomes,Earth Grid,03/05/2011,7
8313,Jason Forrest,The Everything,03/05/2011,7.3
8314,Hyetal,Broadcast,03/05/2011,7.2
8315,Snowman,Absence,03/05/2011,8
8316,Of Montreal,thecontrollersphere EP,03/05/2011,6.6
8317,WhoMadeWho,Knee Deep,02/05/2011,6.7
8318,I'm From Barcelona,Forever Today,02/05/2011,6.1
8319,James Pants,James Pants,02/05/2011,6.7
8320,Blueprint,Adventures in Counter-Culture,02/05/2011,6.6
8321,Fleet Foxes,Helplessness Blues,02/05/2011,8.8
8322,Stricken City,Losing Colour,29/04/2011,7.7
8323,Del the Funky Homosapien,Golden Era,29/04/2011,7
8324,Prefuse 73,The Only She Chapters,29/04/2011,6.4
8325,Ladytron,Best of 00-10,29/04/2011,8.2
8326,Times New Viking,Dancer Equired,29/04/2011,6
8327,Black Devil Disco Club,Circus,28/04/2011,6
8328,Javelin,Canyon Candy,28/04/2011,6.9
8329,Cornershop,Cornershop and the Double-O Groove Of,28/04/2011,7.6
8330,Tindersticks,Claire Denis Film Scores 1996-2009,28/04/2011,7
8331,DJ Quik,The Book of David,28/04/2011,8.4
8332,Xray Eyeballs,Not Nothing,27/04/2011,6.2
8333,The Donkeys,Born with Stripes,27/04/2011,6.3
8334,Art Department,The Drawing Board,27/04/2011,7.3
8335,Thao & Mirah,Thao & Mirah,27/04/2011,7.9
8336,Antony and the Johnsons,Swanlights EP,27/04/2011,7.5
8337,Figurines,Figurines,26/04/2011,6.3
8338,Chain and the Gang,Music's Not For Everyone,26/04/2011,6.6
8339,Acid House Kings,Music Sounds Better With You,26/04/2011,7.8
8340,About Group,Start and Complete,26/04/2011,7.2
8341,Julian Lynch,Terra,26/04/2011,7.7
8342,Eternal Tapestry,Beyond the 4th Door,25/04/2011,7.3
8343,Gatto Fritto,Gatto Fritto,25/04/2011,7.4
8344,Max B,Vigilante Season,25/04/2011,7.7
8345,MF DOOM,Operation: Doomsday [Lunchbox Edition],25/04/2011,8.9
8346,Explosions in the Sky,"Take Care, Take Care, Take Care",25/04/2011,7.2
8347,TV Ghost,Mass Dream,22/04/2011,7.6
8348,Bass Drum of Death,GB City,22/04/2011,6.2
8349,The Fresh & Onlys,Secret Walls EP,22/04/2011,7.5
8350,E-40,Revenue Retrievin': Graveyard Shift,22/04/2011,8.3
8351,Cass McCombs,WIT'S END,22/04/2011,8.4
8352,Southeast Engine,Canary,21/04/2011,7.3
8353,Young Widows,In and Out of Youth and Lightness,21/04/2011,5.7
8354,Jonny,Jonny,21/04/2011,6.2
8355,Various Artist,Benefit for the Recovery in Japan,21/04/2011,7.7
8356,Autechre,EPs 1991-2002,21/04/2011,8
8357,Shannon and the Clams,Sleep Talk,20/04/2011,7.7
8358,Little Scream,The Golden Record,20/04/2011,8.1
8359,Guillemots,Walk the River,20/04/2011,5.9
8360,Pantha du Prince,XI versions of Black Noise,20/04/2011,6.5
8361,Big K.R.I.T.,Return of 4Eva,20/04/2011,8.2
8362,Metronomy,The English Riviera,19/04/2011,6.4
8363,Family Portrait,Family Portrait,19/04/2011,7.3
8364,Matthewdavid,Outmind,19/04/2011,7
8365,O'Death,Outside,19/04/2011,7.9
8366,Various Artist,TRON: Legacy Reconfigured,19/04/2011,5
8367,Daedelus,Bespoke,18/04/2011,6.8
8368,The Head and the Heart,The Head and the Heart,18/04/2011,3.8
8369,Kode9 & the Spaceape,Black Sun,18/04/2011,7.7
8370,Grouper,A I A : Alien Observer,18/04/2011,8.1
8371,Tune-Yards,w h o k i l l,18/04/2011,8.8
8372,Jamaica,No Problem,15/04/2011,5.2
8373,Sonny and the Sunsets,Hit After Hit,15/04/2011,7.7
8374,Meat Puppets,Lollipop,15/04/2011,6.5
8375,Paul Simon,So Beautiful or So What,15/04/2011,6.7
8376,Foo Fighters,Wasting Light,15/04/2011,6.4
8377,Rhys Chatham,Outdoor Spell,14/04/2011,6.8
8378,Jeremy Jay,Dream Diary,14/04/2011,6.3
8379,Hauschka,Salon des Amateurs,14/04/2011,8
8380,Crystal Stilts,In Love With Oblivion,14/04/2011,7.9
8381,Jamie Woon,Mirrorwriting,14/04/2011,8
8382,Starfucker,Reptilians,13/04/2011,6.5
8383,The Low Anthem,Smart Flesh,13/04/2011,4.8
8384,Ponytail,Do Whatever You Want All The Time,13/04/2011,8.2
8385,Atmosphere,The Family Sign,13/04/2011,5.8
8386,Bill Callahan,Apocalypse,13/04/2011,8
8387,Quintron,Sucre du Sauvage,12/04/2011,6.9
8388,The Feelies,Here Before,12/04/2011,7.5
8389,Bob Dylan,In Concert: Brandeis University 1963,12/04/2011,6.3
8390,Low,C'mon,12/04/2011,7.2
8391,TV on the Radio,Nine Types of Light,12/04/2011,7.7
8392,LAKE,Giving & Receiving,11/04/2011,6.3
8393,Jason Isbell and the 400 Unit,Here We Rest,11/04/2011,6
8394,Glasvegas,EUPHORIC /// HEARTBREAK \\\,11/04/2011,4.1
8395,Vivian Girls,Share the Joy,11/04/2011,5.9
8396,Panda Bear,Tomboy,11/04/2011,8.5
8397,Mazes,A Thousand Heys,08/04/2011,6.2
8398,Snoop Dogg,Doggumentary,08/04/2011,5.5
8399,Clams Casino,Instrumental Mixtape,08/04/2011,8.2
8400,The Raveonettes,Raven in the Grave,08/04/2011,5.7
8401,Wiz Khalifa,Rolling Papers,08/04/2011,7.2
8402,Maritime,Human Hearts,07/04/2011,7.2
8403,Craft Spells,Idle Labor,07/04/2011,7.7
8404,The Chemical Brothers,Hanna Original Soundtrack,07/04/2011,6.2
8405,Lil B,Illusions Of Grandeur,07/04/2011,6
8406,Burial,Street Halo,07/04/2011,8
8407,Chris Forsyth,Paranoid Cat,06/04/2011,7.1
8408,J.Rocc,Some Cold Rock Stuf,06/04/2011,6.8
8409,Alela Diane,Alela Diane & Wild Divine,06/04/2011,7.5
8410,Pusha T,Fear of God,06/04/2011,5.6
8411,The Kills,Blood Pressures,06/04/2011,6.4
8412,Josh T. Pearson,Last of the Country Gentlemen,05/04/2011,4
8413,UNKLE,Only the Lonely EP,05/04/2011,6
8414,Royal Bangs,Flux Outside,05/04/2011,6.9
8415,The Death Set,Michel Poiccard,05/04/2011,6.1
8416,The Flaming Lips,The Flaming Lips With Neon Indian,05/04/2011,7.4
8417,Those Darlins,Screws Get Loose,04/04/2011,6.1
8418,Mike Watt,Hyphenated-Man,04/04/2011,7.9
8419,Architecture in Helsinki,Moment Bends,04/04/2011,6.5
8420,Dirty Beaches,Badlands,04/04/2011,8.2
8421,Cold Cave,Cherish the Light Years,04/04/2011,7.7
8422,The Sandwitches,Mrs. Jones' Cookies,01/04/2011,7.5
8423,Holy Ghost!,Holy Ghost!,01/04/2011,7.1
8424,Micachu and the Shapes,Chopped & Screwed,01/04/2011,6.3
8425,Bibio,Mind Bokeh,01/04/2011,6.9
8426,The Pains of Being Pure at Heart,Belong,01/04/2011,8.2
8427,Vocabulary,Faded Days,31/03/2011,6.7
8428,Antonionian,Antonionian,31/03/2011,6.8
8429,Rafter,Quiet Storm,31/03/2011,6.9
8430,Soundgarden,Live on I-5,31/03/2011,2.6
8431,Broken Bells,Meyrin Fields EP,31/03/2011,6.7
8432,Generationals,Actor-Caster,30/03/2011,6.6
8433,Chancha Via Circuito,Rio Arriba,30/03/2011,7.9
8434,Obits,"Moody, Standard and Poor",30/03/2011,6.8
8435,Gucci Mane,The Return of Mr. Zone 6,30/03/2011,6.6
8436,Pearl Jam,Vs. [Legacy Edition],30/03/2011,7.6
8437,Alexander,Alexander,29/03/2011,5.9
8438,Erland & the Carnival,Nightingale,29/03/2011,5.9
8439,Hunx and His Punx,Too Young to Be in Love,29/03/2011,7.2
8440,Katy B,On a Mission,29/03/2011,8.1
8441,The Weeknd,House of Balloons,29/03/2011,8.5
8442,True Widow,As High As The Highest Heavens And From The Center To The Circumference Of The Earth,28/03/2011,7.4
8443,Capillary Action,Capsized,28/03/2011,7.1
8444,Orchestre Poly-Rythmo de Cotonou,Cotonou Club,28/03/2011,7.7
8445,All Tiny Creatures,Harbors,28/03/2011,7.8
8446,The Mountain Goats,All Eternals Deck,28/03/2011,8.1
8447,Primary 1,Other People,25/03/2011,6.6
8448,Moon Duo,Mazes,25/03/2011,7.5
8449,Derrick Carter,Fabric 56,25/03/2011,5.1
8450,Jessie J,Who You Are,25/03/2011,2
8451,Peter Bjorn and John,Gimme Some,25/03/2011,6.2
8452,Ed Askew,Imperfiction,24/03/2011,7.4
8453,Hard Mix,Defaults,24/03/2011,7.2
8454,FaltyDL,You Stand Uncertain,24/03/2011,6.9
8455,Ellen Allien,Dust Remixes,24/03/2011,6.3
8456,Queen,Queen,24/03/2011,6.7
8457,Leika,Space on Tuesday,23/03/2011,5.3
8458,Peaking Lights,936,23/03/2011,7.7
8459,Baby Dee,Regifted Light,23/03/2011,8
8460,Heidecker & Wood,Starting From Nowhere,23/03/2011,4.5
8461,Pharoahe Monch,W.A.R.,23/03/2011,6.5
8462,Metal Mountains,Golden Trees,22/03/2011,7.1
8463,Nick Lowe,Labour of Lust [Reissue],22/03/2011,8.4
